Word,Modality,SUBTL_POS
abrasive,Haptic,Adjective
absorbent,Visual,Adjective
acidic,Gustatory,Adjective
acrid,Olfactory,Adjective
alcoholic,Gustatory,Noun
alive,Visual,Adjective
angular,Visual,Adjective
antiseptic,Olfactory,Adjective
aromatic,Olfactory,Adjective
audible,Auditory,Adjective
banging,Auditory,Verb
barking,Auditory,Verb
beautiful,Visual,Adjective
beeping,Auditory,Verb
beige,Visual,Adjective
bent,Visual,Verb
big,Visual,Adjective
bitter,Gustatory,Adjective
black,Visual,Adjective
blaring,Auditory,Verb
blonde,Visual,Adjective
bloody,Visual,Adjective
blue,Visual,Adjective
blunt,Haptic,Adjective
bouncy,Haptic,Adjective
brackish,Haptic,Adjective
branching,Visual,Verb
breakable,Visual,Adjective
breezy,Visual,Adjective
bright,Visual,Adjective
brilliant,Visual,Adjective
briny,Gustatory,Adjective
bristly,Haptic,Adjective
brittle,Haptic,Adjective
broad,Visual,Adjective
bronze,Visual,Noun
brunette,Visual,Noun
bulky,Visual,Adjective
bumpy,Haptic,Adjective
burnt,Olfactory,Verb
bursting,Visual,Verb
buttery,Gustatory,Noun
cheesy,Gustatory,Adjective
checkered,Visual,Adjective
chewy,Gustatory,Adjective
chilly,Haptic,Adjective
chubby,Visual,Adjective
circular,Visual,Adjective
clammy,Haptic,Adjective
cloudy,Visual,Adjective
cloying,Gustatory,Adjective
cold,Haptic,Adjective
colossal,Visual,Adjective
colorful,Visual,Adjective
conical,Visual,Adjective
contoured,Visual,Adjective
cooing,Auditory,Verb
cool,Haptic,Adjective
craggy,Visual,Adjective
crashing,Visual,Verb
creaking,Auditory,Adjective
creamy,Gustatory,Adjective
crinkled,Visual,Verb
crooked,Visual,Adjective
crunching,Auditory,Verb
curved,Visual,Adjective
cute,Visual,Adjective
damp,Haptic,Adjective
dank,Visual,Adjective
dappled,Visual,Adjective
dazzling,Visual,Adjective
dead,Visual,Adjective
deafening,Auditory,Adjective
delicious,Gustatory,Adjective
dirty,Visual,Adjective
downy,Visual,Adjective
dry,Haptic,Adjective
dull,Visual,Adjective
dusty,Visual,Adjective
earthy,Visual,Adjective
eggy,Gustatory,Adjective
elegant,Visual,Adjective
empty,Visual,Adjective
enormous,Visual,Adjective
falling,Visual,Verb
fat,Visual,Adjective
feverish,Haptic,Adjective
filthy,Visual,Adjective
fishy,Olfactory,Adjective
flaky,Haptic,Adjective
fleshy,Visual,Adjective
floppy,Visual,Adjective
floral,Visual,Adjective
flowery,Visual,Adjective
fluffy,Haptic,Adjective
foggy,Visual,Adjective
fragrant,Olfactory,Adjective
freezing,Haptic,Adjective
fresh,Olfactory,Adjective
frosty,Visual,Adjective
fruity,Gustatory,Adjective
fuzzy,Visual,Adjective
gamy,Haptic,Noun
garlicky,Gustatory,Adjective
gigantic,Visual,Adjective
giggling,Auditory,Verb
glamorous,Visual,Adjective
gleaming,Visual,Adjective
glittery,Visual,Adjective
globular,Visual,Adjective
glossy,Visual,Adjective
gold,Visual,Noun
gooey,Haptic,Adjective
gorgeous,Visual,Adjective
grainy,Haptic,Adjective
grassy,Visual,Adjective
greasy,Haptic,Adjective
green,Visual,Adjective
gritty,Haptic,Adjective
groaning,Auditory,Verb
grotesque,Visual,Adjective
growling,Auditory,Verb
grubby,Visual,Adjective
hairy,Visual,Adjective
handsome,Visual,Adjective
happy,Visual,Adjective
harsh,Auditory,Adjective
hazy,Visual,Adjective
heavy,Haptic,Adjective
high,Visual,Adjective
hissing,Auditory,Verb
hoarse,Auditory,Adjective
honeyed,Gustatory,Adjective
hot,Haptic,Adjective
huge,Visual,Adjective
humid,Haptic,Adjective
icy,Visual,Adjective
immense,Visual,Adjective
insipid,Visual,Adjective
itchy,Haptic,Adjective
jagged,Haptic,Adjective
jingling,Auditory,Verb
juicy,Gustatory,Adjective
khaki,Visual,Adjective
large,Visual,Adjective
laughing,Auditory,Verb
leathery,Haptic,Adjective
lemony,Gustatory,Adjective
lilting,Visual,Verb
lithe,Visual,Adjective
low,Visual,Adjective
lukewarm,Haptic,Adjective
lumpy,Haptic,Adjective
lush,Visual,Adjective
meaty,Gustatory,Adjective
medicinal,Visual,Adjective
melodious,Auditory,Adjective
melted,Visual,Verb
metal,Visual,Noun
mild,Gustatory,Adjective
miniature,Visual,Adjective
minty,Gustatory,Adjective
misty,Visual,Adjective
moaning,Auditory,Verb
moist,Haptic,Adjective
motionless,Visual,Adjective
mottled,Visual,Adjective
moldy,Visual,Adjective
muddy,Visual,Adjective
muffled,Auditory,Adjective
muggy,Visual,Adjective
mumbling,Auditory,Verb
murky,Visual,Adjective
mushy,Haptic,Adjective
musky,Olfactory,Adjective
musty,Olfactory,Adjective
mute,Auditory,Adjective
muttering,Auditory,Verb
narrow,Visual,Adjective
noisy,Auditory,Adjective
noxious,Olfactory,Adjective
nutty,Gustatory,Adjective
odorous,Olfactory,Adjective
oily,Visual,Adjective
orangey,Gustatory,Noun
oval,Visual,Adjective
painful,Haptic,Adjective
palatable,Gustatory,Adjective
pale,Visual,Adjective
patterned,Visual,Adjective
peppery,Gustatory,Adjective
perfumed,Olfactory,Adjective
petite,Visual,Adjective
pink,Visual,Adjective
plain,Visual,Adjective
plastic,Visual,Noun
polished,Visual,Verb
popping,Auditory,Verb
portly,Visual,Adjective
prickly,Haptic,Adjective
puffy,Visual,Adjective
pulsing,Haptic,Verb
pungent,Olfactory,Adjective
puny,Visual,Adjective
purple,Visual,Adjective
purring,Auditory,Verb
putrid,Olfactory,Adjective
quiet,Auditory,Adjective
radiant,Visual,Adjective
rancid,Olfactory,Adjective
raspy,Auditory,Adjective
raucous,Auditory,Adjective
rectangular,Visual,Adjective
red,Visual,Adjective
reddish,Visual,Adjective
resounding,Auditory,Adjective
rhythmic,Auditory,Adjective
ripe,Gustatory,Adjective
rippled,Visual,Verb
rippling,Visual,Adjective
rotten,Visual,Adjective
rotund,Visual,Adjective
rough,Haptic,Adjective
rubbery,Haptic,Adjective
rumbling,Auditory,Verb
rustling,Auditory,Verb
salty,Gustatory,Adjective
scaly,Haptic,Adjective
scented,Olfactory,Adjective
scrawny,Visual,Adjective
screaming,Auditory,Verb
screeching,Auditory,Verb
searing,Visual,Adjective
shadowy,Visual,Adjective
shallow,Visual,Adjective
sharp,Haptic,Adjective
sheer,Visual,Adjective
shimmering,Visual,Adjective
shiny,Visual,Adjective
short,Visual,Adjective
shrieking,Auditory,Verb
shrill,Auditory,Adjective
silent,Auditory,Adjective
silky,Haptic,Adjective
skinny,Visual,Adjective
slimy,Haptic,Adjective
slippery,Haptic,Adjective
slushy,Visual,Adjective
small,Visual,Adjective
smelly,Olfactory,Adjective
smooth,Haptic,Adjective
snorting,Auditory,Verb
soapy,Visual,Adjective
sodden,Visual,Adjective
soft,Haptic,Adjective
soggy,Haptic,Adjective
solid,Haptic,Adjective
sonorous,Auditory,Adjective
sore,Haptic,Adjective
sour,Gustatory,Adjective
sparkly,Visual,Adjective
speckled,Visual,Adjective
spicy,Gustatory,Adjective
spiky,Haptic,Adjective
spilling,Visual,Verb
spotless,Visual,Adjective
spotted,Visual,Verb
squeaking,Auditory,Verb
squealing,Auditory,Verb
stagnant,Visual,Adjective
stale,Gustatory,Adjective
steep,Visual,Adjective
sticky,Haptic,Adjective
stinging,Haptic,Adjective
stinky,Olfactory,Adjective
stormy,Visual,Adjective
strange,Visual,Adjective
striped,Visual,Adjective
strong,Visual,Adjective
sturdy,Haptic,Adjective
sunny,Visual,Adjective
sweaty,Olfactory,Adjective
sweet,Gustatory,Adjective
swift,Visual,Adjective
tall,Visual,Adjective
tangerine,Visual,Adjective
tangy,Gustatory,Adjective
tapering,Visual,Verb
tarry,Visual,Verb
tart,Gustatory,Noun
tasteless,Gustatory,Adjective
tasty,Gustatory,Adjective
tender,Haptic,Adjective
tepid,Haptic,Adjective
thudding,Auditory,Verb
thunderous,Auditory,Adjective
ticklish,Haptic,Adjective
tinkling,Auditory,Adjective
tiny,Visual,Adjective
tough,Haptic,Adjective
translucent,Visual,Adjective
transparent,Visual,Adjective
triangular,Visual,Adjective
ugly,Visual,Adjective
uneven,Visual,Adjective
unpalatable,Gustatory,Adjective
unripe,Visual,Adjective
vegetal,Visual,Adjective
vinegary,Gustatory,Adjective
vivid,Visual,Adjective
wailing,Auditory,Verb
warm,Haptic,Adjective
waxy,Haptic,Adjective
weak,Visual,Adjective
weightless,Haptic,Adjective
wet,Haptic,Adjective
whimpering,Auditory,Verb
whining,Auditory,Verb
whispering,Auditory,Verb
white,Visual,Adjective
wiry,Visual,Adjective
wispy,Visual,Adjective
wizened,Visual,Adjective
woolly,Haptic,Adjective
yellow,Visual,Adjective
academy,Visual,Noun
administration,Visual,Noun
advantage,Visual,Noun
air,Olfactory,Noun
amount,Visual,Noun
arrangement,Visual,Noun
baby,Visual,Noun
balance,Visual,Noun
bank,Visual,Noun
beauty,Visual,Noun
blame,Auditory,Verb
blanket,Haptic,Noun
border,Visual,Noun
bother,Visual,Verb
business,Visual,Noun
call,Auditory,Verb
capacity,Visual,Noun
career,Visual,Noun
cast,Visual,Verb
center,Visual,Noun
chain,Visual,Noun
chair,Visual,Noun
city,Visual,Noun
collection,Visual,Noun
competition,Visual,Noun
concept,Visual,Noun
consequence,Visual,Noun
cope,Visual,Verb
core,Visual,Noun
cost,Visual,Verb
cup,Visual,Noun
cut,Visual,Verb
deck,Visual,Noun
democracy,Visual,Noun
department,Visual,Noun
development,Visual,Noun
direction,Visual,Noun
dispute,Visual,Noun
distinction,Visual,Noun
doctor,Visual,Noun
drama,Visual,Noun
dream,Visual,Noun
duty,Visual,Noun
economy,Visual,Noun
edge,Visual,Noun
education,Visual,Noun
emotion,Visual,Noun
enthusiasm,Visual,Noun
entrance,Visual,Noun
equipment,Visual,Noun
exchange,Visual,Noun
excitement,Visual,Noun
expansion,Visual,Noun
extreme,Visual,Adjective
eye,Visual,Noun
fact,Auditory,Noun
factory,Visual,Noun
failure,Visual,Noun
feel,Haptic,Verb
file,Visual,Noun
find,Visual,Verb
finish,Visual,Verb
food,Gustatory,Noun
form,Visual,Noun
formation,Visual,Noun
friend,Visual,Noun
gesture,Visual,Noun
glass,Visual,Noun
grade,Visual,Noun
grass,Visual,Noun
guilt,Visual,Noun
hat,Visual,Noun
health,Visual,Noun
heaven,Auditory,Noun
hide,Visual,Verb
hole,Visual,Noun
honey,Gustatory,Noun
hour,Visual,Noun
impression,Visual,Noun
inch,Visual,Noun
incident,Visual,Noun
income,Visual,Noun
increase,Visual,Verb
independence,Visual,Noun
influence,Visual,Noun
junior,Visual,Adjective
left,Visual,Verb
life,Visual,Noun
look,Visual,Verb
loop,Visual,Noun
machine,Visual,Noun
management,Visual,Noun
master,Visual,Noun
mate,Visual,Noun
method,Visual,Noun
minute,Visual,Noun
missile,Visual,Noun
money,Visual,Noun
mouth,Visual,Noun
muscle,Haptic,Noun
night,Visual,Noun
orderly,Visual,Adjective
permission,Auditory,Noun
personnel,Visual,Noun
phone,Auditory,Noun
picture,Visual,Noun
portion,Visual,Noun
pound,Visual,Noun
powder,Visual,Noun
preparation,Visual,Noun
primary,Visual,Adjective
prize,Visual,Noun
production,Visual,Noun
property,Visual,Noun
proportion,Visual,Noun
quality,Visual,Noun
reflection,Visual,Noun
refrigerator,Visual,Noun
relation,Visual,Noun
republic,Visual,Noun
rise,Visual,Verb
role,Visual,Noun
roof,Visual,Noun
route,Visual,Noun
sauce,Gustatory,Noun
school,Visual,Noun
seed,Visual,Noun
sergeant,Visual,Noun
shell,Visual,Noun
site,Visual,Noun
slavery,Visual,Noun
soap,Haptic,Noun
socialist,Auditory,Adjective
solution,Visual,Noun
spirit,Visual,Noun
statement,Visual,Noun
stay,Visual,Verb
stop,Visual,Verb
stranger,Visual,Noun
strength,Visual,Noun
student,Visual,Noun
symbol,Visual,Noun
talent,Visual,Noun
tendency,Visual,Noun
text,Visual,Noun
theme,Visual,Noun
theory,Auditory,Noun
thick,Visual,Adjective
title,Visual,Noun
tool,Visual,Noun
track,Visual,Noun
tractor,Visual,Noun
trend,Visual,Noun
vacuum,Visual,Noun
variety,Visual,Noun
view,Visual,Noun
voluntary,Visual,Adjective
wait,Visual,Verb
want,Visual,Verb
welfare,Visual,Noun
west,Visual,Noun
wheel,Visual,Noun
win,Visual,Verb
window,Visual,Noun
worker,Visual,Noun
wrong,Visual,Adjective
admission,Visual,Noun
advice,Auditory,Noun
anger,Visual,Noun
area,Visual,Noun
aspect,Visual,Noun
atom,Visual,Noun
aunt,Visual,Noun
background,Visual,Noun
band,Auditory,Noun
base,Visual,Noun
bath,Haptic,Noun
belt,Visual,Noun
body,Visual,Noun
bone,Haptic,Noun
boss,Visual,Noun
breath,Olfactory,Noun
brief,Auditory,Adjective
builder,Visual,Noun
bullet,Visual,Noun
camp,Visual,Noun
cash,Visual,Noun
cause,Visual,Noun
cellar,Visual,Noun
century,Visual,Noun
chart,Visual,Noun
comedy,Auditory,Noun
condition,Visual,Noun
confidence,Visual,Noun
construction,Visual,Noun
contract,Visual,Noun
cotton,Haptic,Noun
council,Visual,Noun
cousin,Visual,Noun
craft,Visual,Noun
crime,Visual,Noun
crisis,Visual,Noun
curiosity,Visual,Noun
curve,Visual,Noun
customer,Visual,Noun
death,Visual,Noun
delight,Visual,Noun
depression,Visual,Noun
desk,Visual,Noun
device,Visual,Noun
die,Visual,Verb
disease,Visual,Noun
distance,Visual,Noun
dust,Visual,Noun
east,Visual,Noun
effect,Visual,Noun
effort,Visual,Noun
emergency,Visual,Noun
engagement,Visual,Noun
estate,Visual,Noun
factor,Visual,Noun
fair,Visual,Adjective
farm,Visual,Noun
feet,Visual,Noun
fell,Visual,Verb
felt,Haptic,Verb
fence,Visual,Noun
fine,Visual,Adjective
firm,Haptic,Noun
fog,Visual,Noun
foot,Visual,Noun
fortune,Visual,Noun
giant,Visual,Adjective
gun,Visual,Noun
harmony,Auditory,Noun
hate,Auditory,Verb
hell,Auditory,Noun
help,Auditory,Verb
hen,Visual,Noun
hold,Haptic,Verb
household,Visual,Noun
hurt,Visual,Verb
ideal,Visual,Adjective
imagination,Visual,Noun
information,Auditory,Noun
intention,Visual,Noun
invention,Visual,Noun
investigation,Visual,Noun
item,Haptic,Noun
job,Visual,Noun
kid,Visual,Noun
kingdom,Visual,Noun
knowledge,Auditory,Noun
lady,Visual,Noun
landscape,Visual,Noun
laughter,Auditory,Noun
leg,Visual,Noun
level,Visual,Noun
liberty,Visual,Noun
library,Visual,Noun
main,Visual,Adjective
majority,Visual,Noun
moment,Visual,Noun
music,Auditory,Noun
myth,Auditory,Noun
nose,Visual,Noun
note,Visual,Noun
opportunity,Visual,Noun
opposition,Visual,Noun
origin,Visual,Noun
owner,Visual,Noun
pair,Visual,Noun
paper,Visual,Noun
philosophy,Auditory,Noun
piece,Visual,Noun
plan,Auditory,Noun
plane,Visual,Noun
platform,Visual,Noun
poet,Auditory,Noun
poetry,Auditory,Noun
president,Visual,Noun
pressure,Visual,Noun
pride,Visual,Noun
prince,Visual,Noun
problem,Auditory,Noun
promotion,Auditory,Noun
proof,Visual,Noun
provision,Visual,Noun
pupil,Visual,Noun
purpose,Auditory,Noun
quantity,Visual,Noun
question,Auditory,Noun
quick,Visual,Adjective
race,Visual,Noun
recall,Visual,Verb
recognition,Visual,Noun
reduction,Visual,Noun
requirement,Visual,Noun
resistance,Visual,Noun
rifle,Auditory,Noun
rock,Visual,Noun
safety,Visual,Noun
satisfaction,Visual,Noun
sea,Visual,Noun
selection,Visual,Noun
shirt,Visual,Noun
shock,Visual,Noun
sight,Visual,Noun
sister,Auditory,Noun
situation,Visual,Noun
skirt,Visual,Noun
strain,Haptic,Noun
success,Visual,Noun
supper,Gustatory,Noun
supply,Visual,Noun
suspicion,Visual,Noun
tax,Visual,Noun
team,Visual,Noun
throw,Visual,Verb
treat,Gustatory,Verb
trial,Visual,Noun
trust,Auditory,Verb
turn,Visual,Verb
type,Visual,Noun
unit,Visual,Noun
value,Visual,Noun
volume,Auditory,Noun
wage,Visual,Noun
weather,Visual,Noun
abut,Haptic,Verb
accept,Haptic,Verb
accomplish,Haptic,Verb
admit,Auditory,Verb
afford,Visual,Verb
alienate,Visual,Verb
alter,Haptic,Verb
annihilate,Haptic,Verb
annoy,Auditory,Verb
appear,Visual,Verb
appreciate,Visual,Verb
arrange,Haptic,Verb
arrive,Visual,Verb
ascend,Haptic,Verb
assess,Visual,Verb
astonish,Visual,Verb
attend,Visual,Verb
await,Visual,Verb
bang,Auditory,Verb
behold,Visual,Verb
belittle,Visual,Verb
beseech,Auditory,Verb
blacken,Haptic,Verb
blare,Auditory,Verb
bolt,Visual,Noun
boom,Auditory,Noun
borrow,Haptic,Verb
box,Haptic,Noun
breathe,Olfactory,Verb
catch,Haptic,Verb
change,Visual,Verb
chatter,Auditory,Noun
check,Visual,Verb
chew,Gustatory,Verb
clap,Haptic,Verb
complain,Visual,Verb
concentrate,Visual,Verb
consider,Auditory,Verb
contemplate,Auditory,Verb
contend,Visual,Verb
converge,Visual,Verb
corrupt,Visual,Adjective
crackle,Auditory,Noun
criticize,Auditory,Verb
croak,Auditory,Verb
depart,Visual,Verb
detect,Visual,Verb
differentiate,Visual,Verb
discern,Visual,Verb
discriminate,Visual,Verb
disobey,Auditory,Verb
dissect,Haptic,Verb
distinguish,Visual,Verb
distribute,Visual,Verb
disturb,Haptic,Verb
do,Haptic,Verb
drag,Haptic,Verb
eat,Gustatory,Verb
eavesdrop,Auditory,Verb
emanate,Visual,Verb
emphasize,Auditory,Verb
emulate,Visual,Verb
endure,Haptic,Verb
enjoy,Visual,Verb
espy,Visual,Noun
examine,Visual,Verb
exhale,Olfactory,Noun
exist,Visual,Verb
experience,Visual,Noun
explore,Visual,Verb
expose,Visual,Verb
extend,Haptic,Verb
feature,Visual,Noun
filter,Visual,Noun
finger,Haptic,Noun
flog,Haptic,Verb
fondle,Haptic,Verb
fumble,Haptic,Verb
gape,Visual,Verb
gawk,Visual,Verb
gaze,Visual,Noun
generate,Haptic,Verb
get,Haptic,Verb
give,Haptic,Verb
glance,Visual,Noun
glimpse,Visual,Noun
govern,Auditory,Verb
graze,Haptic,Verb
grope,Haptic,Verb
hail,Visual,Verb
hammer,Haptic,Noun
handle,Haptic,Verb
heal,Haptic,Verb
hear,Auditory,Verb
hearken,Auditory,Verb
heed,Auditory,Verb
hit,Haptic,Verb
identify,Visual,Verb
impress,Visual,Verb
incorporate,Haptic,Verb
incriminate,Auditory,Verb
inhale,Olfactory,Verb
insist,Auditory,Verb
inspect,Visual,Verb
interrupt,Auditory,Verb
journey,Visual,Noun
jump,Haptic,Verb
justify,Auditory,Verb
keep,Haptic,Verb
know,Auditory,Verb
label,Visual,Noun
leave,Visual,Verb
license,Visual,Noun
lick,Gustatory,Verb
listen,Auditory,Verb
loosen,Haptic,Verb
lubricate,Haptic,Verb
manipulate,Haptic,Verb
massage,Haptic,Noun
maul,Haptic,Verb
meet,Visual,Verb
move,Haptic,Verb
narrate,Auditory,Verb
negotiate,Visual,Verb
notice,Visual,Verb
observe,Visual,Verb
outlive,Visual,Verb
overhear,Auditory,Verb
oversee,Visual,Verb
palpate,Haptic,Verb
partake,Visual,Verb
patronize,Auditory,Verb
paw,Haptic,Noun
perceive,Visual,Verb
perfume,Olfactory,Noun
pet,Haptic,Noun
poke,Haptic,Verb
prattle,Auditory,Noun
process,Visual,Noun
prohibit,Visual,Verb
prove,Auditory,Verb
publish,Visual,Verb
reach,Haptic,Verb
receive,Haptic,Verb
recognize,Visual,Verb
redecorate,Visual,Verb
reek,Olfactory,Verb
reinforce,Haptic,Verb
remark,Auditory,Noun
resemble,Visual,Verb
resonate,Auditory,Verb
resound,Auditory,Verb
reverberate,Auditory,Verb
rub,Haptic,Verb
sample,Gustatory,Noun
savor,Gustatory,Verb
savour,Gustatory,Verb
say,Auditory,Verb
scent,Olfactory,Noun
scrutinize,Visual,Verb
see,Visual,Verb
seem,Visual,Verb
sense,Haptic,Noun
signify,Visual,Verb
sing,Auditory,Verb
sip,Gustatory,Noun
sit,Haptic,Verb
smell,Olfactory,Verb
snap,Haptic,Verb
sniff,Olfactory,Verb
spot,Visual,Noun
spy,Visual,Noun
stabilize,Haptic,Verb
stage,Visual,Noun
stare,Visual,Verb
stench,Olfactory,Noun
stink,Olfactory,Verb
string,Haptic,Noun
stroke,Haptic,Noun
struggle,Haptic,Noun
suck,Gustatory,Verb
suffer,Haptic,Verb
suffice,Visual,Verb
suggest,Auditory,Verb
survey,Visual,Noun
test,Visual,Noun
thicken,Haptic,Verb
threaten,Visual,Verb
thud,Haptic,Noun
thumb,Haptic,Noun
toll,Visual,Noun
trigger,Auditory,Noun
trumpet,Auditory,Noun
try,Haptic,Verb
tweak,Haptic,Verb
undergo,Haptic,Verb
use,Haptic,Verb
vacate,Haptic,Verb
watch,Visual,Verb
whiff,Olfactory,Noun
whine,Auditory,Verb
witness,Visual,Noun
zap,Haptic,Verb
